# Matter power spectrum P(k) at redshift z=0
# for k=1.19539e-05 to 1.11487 h/Mpc,
# number of wavenumbers equal to 534
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.436286165419e-02       4.957582685390e+01 
       1.449807585391e-02       4.741303785107e+01 
       1.463332716765e-02       4.535300050655e+01 
       1.476861578492e-02       4.338867610017e+01 
       1.490394191768e-02       4.151337149803e+01 
       1.503930580005e-02       3.972514783927e+01 
       1.517470768808e-02       3.802176387443e+01 
       1.531014785952e-02       3.639868634597e+01 
       1.544562661361e-02       3.485305748344e+01 
       1.558114427096e-02       3.337874789737e+01 
       1.571670117341e-02       3.197667554383e+01 
       1.585229768388e-02       3.063999833591e+01 
       1.598793418636e-02       2.936664409500e+01 
       1.612361108577e-02       2.815365062920e+01 
       1.625932880799e-02       2.699855742389e+01 
       1.639508779982e-02       2.589707869349e+01 
       1.653088852900e-02       2.484930204803e+01 
       1.666673148420e-02       2.385127693511e+01 
       1.680261717515e-02       2.290051969676e+01 
       1.693854613261e-02       2.199288138440e+01 
       1.707451890855e-02       2.113182596223e+01 
       1.721053607621e-02       2.031039576710e+01 
       1.734659823023e-02       1.952715822630e+01 
       1.748270598682e-02       1.878014351304e+01 
       1.761885998388e-02       1.806915714806e+01 
       1.775506088125e-02       1.739057410614e+01 
       1.789130936082e-02       1.674408691655e+01 
       1.802760612684e-02       1.612763244475e+01 
       1.816395190608e-02       1.554064957209e+01 
       1.830034744811e-02       1.497878155879e+01 
       1.843679352558e-02       1.444334426949e+01 
       1.857329093447e-02       1.393221784314e+01 
       1.870984049445e-02       1.344449314431e+01 
       1.884644304911e-02       1.297895042043e+01 
       1.898309946639e-02       1.253387338383e+01 
       1.911981063887e-02       1.210884079997e+01 
       1.925657748414e-02       1.170261949066e+01 
       1.939340094523e-02       1.131426056215e+01 
       1.953028199097e-02       1.094285900755e+01 
       1.966722161644e-02       1.058756267678e+01 
       1.980422084339e-02       1.024821580160e+01 
       1.994128072070e-02       9.922751904805e+00 
       2.007840232485e-02       9.610630537561e+00 
       2.021558676044e-02       9.312494247588e+00 
       2.035283516066e-02       9.026546381360e+00 
       2.049014868784e-02       8.752274074573e+00 
       2.062752853401e-02       8.489300691061e+00 
       2.076497592145e-02       8.236421427452e+00 
       2.090249210328e-02       7.994429518634e+00 
       2.104007836407e-02       7.762189841793e+00 
       2.117773602049e-02       7.538807887356e+00 
       2.131546642191e-02       7.324258516176e+00 
       2.145327095114e-02       7.118100403368e+00 
       2.159115102506e-02       6.919797740329e+00 
       2.172910809536e-02       6.728691467182e+00 
       2.186714364930e-02       6.545050362465e+00 
       2.200525921044e-02       6.368531887866e+00 
       2.214345633945e-02       6.198260466414e+00 
       2.228173663490e-02       6.033822125574e+00 
       2.242010173412e-02       5.875555935156e+00 
       2.255855331406e-02       5.722943171654e+00 
       2.269709309216e-02       5.575708603152e+00 
       2.283572282731e-02       5.433865902174e+00 
       2.297444432073e-02       5.296358367634e+00 
       2.311325941704e-02       5.163828846672e+00 
       2.325217000518e-02       5.035700521782e+00 
       2.339117801949e-02       4.911966639595e+00 
       2.353028544078e-02       4.792001218379e+00 
       2.366949429744e-02       4.676183397913e+00 
       2.380880666655e-02       4.563816333408e+00 
       2.394822467508e-02       4.455248311814e+00 
       2.408775050110e-02       4.349881358053e+00 
       2.422738637500e-02       4.247847591005e+00 
       2.436713458081e-02       4.148941771507e+00 
       2.450699745752e-02       4.053163456646e+00 
       2.464697740044e-02       3.959915294429e+00 
       2.478707686260e-02       3.869572451330e+00 
       2.492729835624e-02       3.781866879702e+00 
       2.506764445430e-02       3.696676374631e+00 
       2.520811779197e-02       3.613902890523e+00 
       2.534872106826e-02       3.533460060472e+00 
       2.548945704771e-02       3.455266568032e+00 
       2.563032856205e-02       3.379179621665e+00 
       2.577133851199e-02       3.305160412021e+00 
       2.591248986901e-02       3.233131653823e+00 
       2.605378567726e-02       3.163013943169e+00 
       2.619522905547e-02       3.094736413976e+00 
       2.633682319900e-02       3.028224641311e+00 
       2.647857138187e-02       2.963439779039e+00 
       2.662047695889e-02       2.900303370212e+00 
       2.676254336791e-02       2.838749643870e+00 
       2.690477413206e-02       2.778735517011e+00 
       2.704717286216e-02       2.720193438480e+00 
       2.718974325911e-02       2.663065195729e+00 
       2.733248911645e-02       2.607333822205e+00 
       2.747541432296e-02       2.552923353330e+00 
       2.761852286536e-02       2.499813133173e+00 
       2.776181883111e-02       2.447963879191e+00 
       2.790530641133e-02       2.397303635707e+00 
       2.804898990374e-02       2.347814466765e+00 
       2.819287371583e-02       2.299470483075e+00 
       2.833696236804e-02       2.252230346137e+00 
       2.848126049709e-02       2.206040952754e+00 
       2.862577285945e-02       2.160882354012e+00 
       2.877050433492e-02       2.116749284927e+00 
       2.891545993031e-02       2.073582783552e+00 
       2.906064478332e-02       2.031326277904e+00 
       2.920606416655e-02       1.989979561313e+00 
       2.935172349159e-02       1.949548244386e+00 
       2.949762831336e-02       1.909984366217e+00 
       2.964378433456e-02       1.871264847432e+00 
       2.979019741031e-02       1.833397067154e+00 
       2.993687355296e-02       1.796268039555e+00 
       3.008381893710e-02       1.759938299548e+00 
       3.023103990479e-02       1.724363496871e+00 
       3.037854297089e-02       1.689531919073e+00 
       3.052633482876e-02       1.655417572032e+00 
       3.067442235609e-02       1.621976821254e+00 
       3.082281262096e-02       1.589241005736e+00 
       3.097151288822e-02       1.557170265172e+00 
       3.112053062606e-02       1.525714729169e+00 
       3.126987351290e-02       1.494938252734e+00 
       3.141954944454e-02       1.464755265181e+00 
       3.156956654163e-02       1.435180942501e+00 
       3.171993315750e-02       1.406179037178e+00 
       3.187065788619e-02       1.377757543342e+00 
       3.202174957103e-02       1.349895237135e+00 
       3.217321731339e-02       1.322579529188e+00 
       3.232507048199e-02       1.295797717312e+00 
       3.247731872252e-02       1.269538991682e+00 
       3.262997196772e-02       1.243786276751e+00 
       3.278304044793e-02       1.218544762575e+00 
       3.293653470213e-02       1.193787774763e+00 
       3.309046558943e-02       1.169506355452e+00 
       3.324484430122e-02       1.145695357434e+00 
       3.339968237375e-02       1.122337924598e+00 
       3.355499170140e-02       1.099423165971e+00 
       3.371078455057e-02       1.076946808568e+00 
       3.386707357422e-02       1.054906348972e+00 
       3.402387182716e-02       1.033270775584e+00 
       3.418119278207e-02       1.012055256905e+00 
       3.433905034631e-02       9.912475313209e-01 
       3.449745887962e-02       9.708192830211e-01 
       3.465643321268e-02       9.507914125481e-01 
       3.481598866665e-02       9.311335214585e-01 
       3.497614107371e-02       9.118473504683e-01 
       3.513690679871e-02       8.929204810906e-01 
       3.529830276193e-02       8.743477371910e-01 
       3.546034646309e-02       8.561207791813e-01 
       3.562305600666e-02       8.382387429878e-01 
       3.578645012854e-02       8.206861328473e-01 
       3.595054822424e-02       8.034646251113e-01 
       3.611537037861e-02       7.865703369132e-01 
       3.628093739734e-02       7.699821617048e-01 
       3.644727084010e-02       7.536994761444e-01 
       3.661439305581e-02       7.377188776869e-01 
       3.678232721979e-02       7.220375500848e-01 
       3.695109737324e-02       7.066451827428e-01 
       3.712072846504e-02       6.915377701573e-01 
       3.729124639605e-02       6.767097010126e-01 
       3.746267806624e-02       6.621566181666e-01 
       3.763505142462e-02       6.478681495974e-01 
       3.780839552244e-02       6.338423581291e-01 
       3.798274056968e-02       6.200748943187e-01 
       3.815811799522e-02       6.065602746072e-01 
       3.833456051098e-02       5.932932483380e-01 
       3.851210218023e-02       5.802706808662e-01 
       3.869077849058e-02       5.674857642476e-01 
       3.887062643179e-02       5.549343678939e-01 
       3.905168457910e-02       5.426100805443e-01 
       3.923399318222e-02       5.305139664883e-01 
       3.941759426072e-02       5.186363734506e-01 
       3.960253170621e-02       5.069748141410e-01 
       3.978885139192e-02       4.955242708226e-01 
       3.997660129046e-02       4.842831830668e-01 
       4.016583160022e-02       4.732481519230e-01 
       4.035659488153e-02       4.624095022706e-01 
       4.054894620319e-02       4.517709903935e-01 
       4.074294330045e-02       4.413227697241e-01 
       4.093864674558e-02       4.310444377215e-01 
       4.113612013210e-02       4.209697856689e-01 
       4.133543027414e-02       4.110755027260e-01 
       4.153664742227e-02       4.013597560732e-01 
       4.173984549761e-02       3.918173159084e-01 
       4.194510234602e-02       3.824476549074e-01 
       4.215250001433e-02       3.732427343511e-01 
       4.236212505125e-02       3.642031313840e-01 
       4.257406883515e-02       3.553254509262e-01 
       4.278842793211e-02       3.466053403518e-01 
       4.300530448717e-02       3.380396353098e-01 
       4.322480665292e-02       3.296260473812e-01 
       4.344704905933e-02       3.213626087116e-01 
       4.367215332990e-02       3.132435909514e-01 
       4.390024864961e-02       3.052674157622e-01 
       4.413147239074e-02       2.974314455153e-01 
       4.436597080406e-02       2.897329774854e-01 
       4.460389978319e-02       2.821681993222e-01 
       4.484542571193e-02       2.747363244963e-01 
       4.509072640508e-02       2.674329416539e-01 
       4.533999215544e-02       2.602559144730e-01 
       4.559342690138e-02       2.532023241712e-01 
       4.585124953169e-02       2.462712215736e-01 
       4.611369534735e-02       2.394579079285e-01 
       4.638101770287e-02       2.327614312342e-01 
       4.665348985382e-02       2.261770577080e-01 
       4.693140704196e-02       2.197047321194e-01 
       4.721508885462e-02       2.133420040824e-01 
       4.750488190201e-02       2.070855510633e-01 
       4.780116286401e-02       2.009339569215e-01 
       4.810434196786e-02       1.948823038111e-01 
       4.841486697024e-02       1.889300532935e-01 
       4.873322773167e-02       1.830769799327e-01 
       4.905996148926e-02       1.773161756819e-01 
       4.939565895596e-02       1.716497200365e-01 
       4.974097140162e-02       1.660731797562e-01 
       5.009661890570e-02       1.605842567975e-01 
       5.046340001332e-02       1.551803364009e-01 
       5.084220308018e-02       1.498600655199e-01 
       5.123401965858e-02       1.446205702907e-01 
       5.163996036142e-02       1.394597157381e-01 
       5.206127374832e-02       1.343747047476e-01 
       5.249936891447e-02       1.293629285747e-01 
       5.295584263616e-02       1.244229470133e-01 
       5.343251214854e-02       1.195510435640e-01 
       5.393145491276e-02       1.147443973204e-01 
       5.445505708818e-02       1.100011726188e-01 
       5.500607287610e-02       1.053173322435e-01 
       5.558769746352e-02       1.006900321667e-01 
       5.620365697727e-02       9.611580649126e-02 
       5.685831965308e-02       9.159053145863e-02 
       5.755683327467e-02       8.711378812191e-02 
       5.830529468728e-02       8.267340405105e-02 
       5.911095747051e-02       7.826749061966e-02 
       5.998248288065e-02       7.388924698884e-02 
       6.093023536361e-02       6.953161504794e-02 
       6.196661428070e-02       6.518477839178e-02 
       6.310639257295e-02       6.083821115575e-02 
       6.436699211671e-02       5.647884551743e-02 
       6.576855265516e-02       5.209166823143e-02 
       6.733353770667e-02       4.765946855211e-02 
       6.908548307533e-02       4.316715246658e-02 
       7.104642289359e-02       3.860261935314e-02 
       7.323275165081e-02       3.397114880389e-02 
       7.565010067668e-02       2.930734247707e-02 
       7.828916169568e-02       2.468652397846e-02 
       8.112518222380e-02       2.022951323777e-02 
       8.412246128436e-02       1.608807471871e-02 
       8.724194931417e-02       1.241057823312e-02 
       9.044814771677e-02       9.306130073323e-03 
       9.371280154328e-02       6.821045899360e-03 
       9.701543947174e-02       4.935941258207e-03 
       1.003421510463e-01       3.580264010398e-03 
       1.036838748557e-01       2.656231728728e-03 
       1.070348656557e-01       2.061930714325e-03 
       1.103915420123e-01       1.707539101452e-03 
       1.137516946118e-01       1.522842353040e-03 
       1.171139692340e-01       1.454593861316e-03 
       1.204775389479e-01       1.462232266550e-03 
       1.238418998985e-01       1.510699846823e-03 
       1.272067454232e-01       1.567593532899e-03 
       1.305718889416e-01       1.603245737318e-03 
       1.339372169033e-01       1.593996198504e-03 
       1.373026601410e-01       1.526142892471e-03 
       1.406681764540e-01       1.398445392721e-03 
       1.440337400279e-01       1.221797234903e-03 
       1.473993350087e-01       1.015831645133e-03 
       1.507649516023e-01       8.035754054041e-04 
       1.541305837050e-01       6.061192122467e-04 
       1.574962274656e-01       4.384147447783e-04 
       1.608618804110e-01       3.076830862177e-04 
       1.642275409150e-01       2.139007220356e-04 
       1.675932078748e-01       1.520904075048e-04 
       1.709588805141e-01       1.153441007884e-04 
       1.743245582627e-01       9.715625421501e-05 
       1.776902406825e-01       9.269260050920e-05 
       1.810559274225e-01       9.886247730120e-05 
       1.844216181902e-01       1.135202422869e-04 
       1.877873127347e-01       1.344480695084e-04 
       1.911530108347e-01       1.585338265976e-04 
       1.945187122921e-01       1.823209574824e-04 
       1.978844169268e-01       2.011589734678e-04 
       2.012501245736e-01       2.111364287180e-04 
       2.046158350799e-01       2.099720793486e-04 
       2.079815483041e-01       1.975078459368e-04 
       2.113472641144e-01       1.757047546081e-04 
       2.147129823875e-01       1.479972094619e-04 
       2.180787030083e-01       1.183563591343e-04 
       2.214444258686e-01       9.032712192882e-05 
       2.248101508670e-01       6.636917668204e-05 
       2.281758779080e-01       4.763443962105e-05 
       2.315416069020e-01       3.417950313194e-05 
       2.349073377643e-01       2.532639649516e-05 
       2.382730704152e-01       2.015329973937e-05 
       2.416388047794e-01       1.779521732741e-05 
       2.450045407858e-01       1.764084722675e-05 
       2.483702783673e-01       1.929631045742e-05 
       2.517360174601e-01       2.246705358531e-05 
       2.551017580042e-01       2.678061473014e-05 
       2.584674999424e-01       3.170056402556e-05 
       2.618332432206e-01       3.650317713785e-05 
       2.651989877876e-01       4.040724011899e-05 
       2.685647335944e-01       4.274840242900e-05 
       2.719304805949e-01       4.310977128173e-05 
       2.752962287449e-01       4.142363128187e-05 
       2.786619780027e-01       3.795511216711e-05 
       2.820277283281e-01       3.322161534700e-05 
       2.853934796834e-01       2.786567584878e-05 
       2.887592320322e-01       2.251752023182e-05 
       2.921249853400e-01       1.767869952423e-05 
       2.954907395739e-01       1.366569525686e-05 
       2.988564947024e-01       1.059982894346e-05 
       3.022222506954e-01       8.451040504211e-06 
       3.055880075243e-01       7.099799195136e-06 
       3.089537651615e-01       6.404943034605e-06 
       3.123195235808e-01       6.239836330584e-06 
       3.156852827570e-01       6.501182230588e-06 
       3.190510426661e-01       7.098561147463e-06 
       3.224168032850e-01       7.935480214054e-06 
       3.257825645915e-01       8.895901267883e-06 
       3.291483265645e-01       9.845388309339e-06 
       3.325140891837e-01       1.063775532721e-05 
       3.358798524294e-01       1.114497933209e-05 
       3.392456162830e-01       1.127618332366e-05 
       3.426113807265e-01       1.099805510305e-05 
       3.459771457426e-01       1.034451346680e-05 
       3.493429113145e-01       9.402977810282e-06 
       3.527086774265e-01       8.291651577635e-06 
       3.560744440630e-01       7.133023867986e-06 
       3.594402112092e-01       6.031093431071e-06 
       3.628059788510e-01       5.058858707489e-06 
       3.661717469745e-01       4.257089146555e-06 
       3.695375155666e-01       3.638370085833e-06 
       3.729032846145e-01       3.197016147895e-06 
       3.762690541059e-01       2.917286373745e-06 
       3.796348240290e-01       2.777882672640e-06 
       3.830005943724e-01       2.756028354145e-06 
       3.863663651249e-01       2.827870590463e-06 
       3.897321362761e-01       2.964556961388e-06 
       3.930979078155e-01       3.135079775898e-06 
       3.964636797333e-01       3.307150803316e-06 
       3.998294520198e-01       3.448592256049e-06 
       4.031952246658e-01       3.534261740795e-06 
       4.065609976624e-01       3.548335904768e-06 
       4.099267710008e-01       3.483907699714e-06 
       4.132925446727e-01       3.345004743531e-06 
       4.166583186699e-01       3.143127535292e-06 
       4.200240929846e-01       2.896173585972e-06 
       4.233898676092e-01       2.624898574165e-06 
       4.267556425364e-01       2.350581343635e-06 
       4.301214177590e-01       2.092065163246e-06 
       4.334871932700e-01       1.863234333151e-06 
       4.368529690629e-01       1.672683379910e-06 
       4.402187451311e-01       1.522807432731e-06 
       4.435845214683e-01       1.411961529770e-06 
       4.469502980685e-01       1.336266647098e-06 
       4.503160749256e-01       1.290114255683e-06 
       4.536818520340e-01       1.267866628817e-06 
       4.570476293882e-01       1.263691255889e-06 
       4.604134069826e-01       1.271878674455e-06 
       4.637791848120e-01       1.286357964649e-06 
       4.671449628714e-01       1.300879469974e-06 
       4.705107411558e-01       1.309107689490e-06 
       4.738765196603e-01       1.305644154470e-06 
       4.772422983804e-01       1.286868868798e-06 
       4.806080773114e-01       1.251613136127e-06 
       4.839738564489e-01       1.201187905108e-06 
       4.873396357887e-01       1.138884529282e-06 
       4.907054153266e-01       1.068764154433e-06 
       4.940711950585e-01       9.950033343313e-07 
       4.974369749804e-01       9.213339903412e-07 
       5.008027550886e-01       8.507990919987e-07 
       5.041685353792e-01       7.859693136614e-07 
       5.075343158486e-01       7.287595222046e-07 
       5.109000964934e-01       6.808002389264e-07 
       5.142658773099e-01       6.425642317868e-07 
       5.176316582950e-01       6.139353866434e-07 
       5.209974394452e-01       5.938416785821e-07 
       5.243632207574e-01       5.805378015993e-07 
       5.277290022286e-01       5.718677383297e-07 
       5.310947838555e-01       5.656522025733e-07 
       5.344605656354e-01       5.601625813321e-07 
       5.378263475654e-01       5.538290336420e-07 
       5.411921296425e-01       5.457353616337e-07 
       5.643363238312e-01       4.166978277219e-07 
       5.896807335232e-01       2.847689088721e-07 
       6.177902038458e-01       2.262540998879e-07 
       6.494861260276e-01       1.504040239506e-07 
       6.860203392774e-01       1.035122766885e-07 
       7.294143267475e-01       6.150363565824e-08 
       7.831734208238e-01       3.317178674049e-08 
       8.539125096488e-01       1.358463474205e-08 
       9.552008621158e-01       2.718085946360e-09 
       1.114870041275e+00       5.263242917545e-11 
